Haselhuhn,Hazel Grouse,,,,,,,
Knutt,Red Knot,,,,,,,
Kampfläufer,Ruff,,,,,,,
Sumpfläufer,Broad-billed Sandpiper,,,,,,,
Spitzschwanz-Strandläufer,Sharp-tailed Sandpiper,,,,,,,
Bindenstrandläufer,Stilt Sandpiper,,,,,,,
Sichelstrandläufer,Curlew Sandpiper,,,,,,,
Temminckstrandläufer,Temminck's Stint,,,,,,,
Langzehen-Strandläufer,Long-toed Stint,,,,,,,
Rotkehl-Strandläufer,Red-necked Stint,,,,,,,
Sanderling,Sanderling,,,,,,,
Alpenstrandläufer,Dunlin,,,,,,,
Meerstrandläufer,Purple Sandpiper,,,,,,,
Bairdstrandläufer,Baird's Sandpiper,,,,,,,
Zwergstrandläufer,Little Stint,,,,,,,
Wiesenstrandläufer,Least Sandpiper,,,,,,,
Weißbürzel-Strandläufer,White-rumped Sandpiper,,,,,,,
Grasläufer,Buff-breasted Sandpiper,,,,,,,
Graubrust-Strandläufer,Pectoral Sandpiper,,,,,,,
Sandstrandläufer,Semipalmated Sandpiper,,,,,,,
Waldschnepfe,Eurasian Woodcock,,,,,,,
Zwergschnepfe,Jack Snipe,,,,,,,
Doppelschnepfe,Great Snipe,,,,,,,
Bekassine,Common Snipe,,,,,,,
Terekwasserläufer,Terek Sandpiper,,,,,,,
Wilsonwassertreter,Wilson's Phalarope,,,,,,,
Odinshühnchen,Red-necked Phalarope,,,,,,,
Thorshühnchen,Red Phalarope,,,,,,,
Flussuferläufer,Common Sandpiper,,,,,,,
Drosseluferläufer,Spotted Sandpiper,,,,,,,
Waldwasserläufer,Green Sandpiper,,,,,,,
Rotschenkel,Common Redshank,,,,,,,
Teichwasserläufer,Marsh Sandpiper,,,,,,,
Bruchwasserläufer,Wood Sandpiper,,,,,,,
Grünschenkel,Common Greenshank,,,,,,,
Rennvogel,Cream-colored Courser,,,,,,,
Rotflügel-Brachschwalbe,Collared Pratincole,,,,,,,
Schwarzflügel-Brachschwalbe,Black-winged Pratincole,,,,,,,
Dreizehenmöwe,Black-legged Kittiwake,,,,,,,
Elfenbeinmöwe,Ivory Gull,,,,,,,
Schwalbenmöwe,Sabine's Gull,,,,,,,
Dünnschnabelmöwe,Slender-billed Gull,,,,,,,
Bonapartemöwe,Bonaparte's Gull,,,,,,,
Lachmöwe,Black-headed Gull,,,,,,,
Zwergmöwe,Little Gull,,,,,,,
Rosenmöwe,Ross's Gull,,,,,,,
Aztekenmöwe,Laughing Gull,,,,,,,
Präriemöwe,Franklin's Gull,,,,,,,
Korallenmöwe,Audouin's Gull,,,,,,,
Schwarzkopfmöwe,Mediterranean Gull,,,,,,,
Fischmöwe,Pallas's Gull,,,,,,,
Sturmmöwe,Mew Gull,,,,,,,
Ringschnabelmöwe,Ring-billed Gull,,,,,,,
Mantelmöwe,Great Black-backed Gull,,,,,,,
Eismöwe,Glaucous Gull,,,,,,,
Polarmöwe,Iceland Gull,,,,,,,
Silbermöwe,European Herring Gull,,,,,,,
Kanadamöwe,American Herring Gull,,,,,,,
Steppenmöwe,Caspian Gull,,,,,,,
